email,firstName,lastName,phone,description,origin,destination,weightKg,status
user14@test.com,Marija,Nikolic,0620468346,Knjige - kolekcija romana,Cacak,Zrenjanin,6.7,DELIVERED
user12@test.com,Dusan,Markovic,0677478345,Obuca sportska,Subotica,Pancevo,9.1,IN_TRANSIT
user10@test.com,Petar,Stojanovic,0669704024,Laptop Dell XPS 15,Kraljevo,Pancevo,7.0,CANCELLED
user13@test.com,Tamara,Markovic,0620764661,Kuhinjski aparat,Nis,Uzice,14.2,
user2@test.com,Stefan,Petrovic,0660753722,Slusalice bezicne,Zrenjanin,Uzice,,DELIVERED
user5@test.com,Dusan,Nikolic,0637969756,Garderoba - paket,Beograd,Novi Pazar,12.2,
user16@test.com,Nikola,Pavlovic,0676354323,Laptop Dell XPS 15,Novi Sad,Zrenjanin,0.6,IN_TRANSIT
user7@test.com,Jelena,Stankovic,0686533593,Tableta Samsung,Cacak,Kragujevac,14.7,DELIVERED
user4@test.com,Nikola,Djordjevic,0631905569,Tepih,Leskovac,Zrenjanin,,CANCELLED
user16@test.com,Nikola,Pavlovic,0676354323,Obuca sportska,Subotica,Uzice,7.1,DELIVERED
user10@test.com,Petar,Stojanovic,0669704024,Tepih,Kragujevac,Novi Sad,,CANCELLED
user13@test.com,Tamara,Markovic,0620764661,Tableta Samsung,Beograd,Subotica,12.0,DELIVERED
user10@test.com,Petar,Stojanovic,0669704024,Kucni aparat - mikser,Uzice,Pancevo,,IN_TRANSIT
user5@test.com,Dusan,Nikolic,0637969756,Sportska oprema,Kragujevac,Zrenjanin,9.1,
user9@test.com,Sara,Petrovic,0664579487,Mobilni telefon,Pancevo,Cacak,9.4,IN_TRANSIT
user16@test.com,Nikola,Pavlovic,0676354323,Decja igracka,Nis,Kragujevac,12.4,DELIVERED
user10@test.com,Petar,Stojanovic,0669704024,Garderoba - paket,Subotica,Nis,13.4,CANCELLED
user6@test.com,Stefan,Markovic,0647948803,Sportska oprema,Pancevo,Cacak,8.4,
user3@test.com,Jelena,Stevanovic,0676568267,Kafe aparat,Cacak,Leskovac,1.0,DELIVERED
user15@test.com,Filip,Djordjevic,0622871302,Mobilni telefon,Pancevo,Subotica,6.9,
user6@test.com,Stefan,Markovic,0647948803,Lampa stona,Novi Pazar,Beograd,6.5,IN_TRANSIT
